method,n_paths_requested,rmse,bias,empirical_std,mean_runtime_s,mean_price,reference_price,reference_std_err
standard_mc,2048,0.2907033201798741,-0.07628778238896472,0.2929882305208795,0.0019491146666668069,7.996495246664572,8.072783029053536,0.00016104090821566561
standard_mc,8192,0.09668558752499262,0.028139157804317676,0.09661332846003871,0.007923618083333602,8.100922186857852,8.072783029053536,0.00016104090821566561
standard_mc,32768,0.05000262256106463,-0.006707995073202226,0.05175394651704984,0.03152602083333337,8.066075033980335,8.072783029053536,0.00016104090821566561
standard_mc,131072,0.028748935151077484,0.0029933956322947264,0.02986407123635814,0.12501647225,8.07577642468583,8.072783029053536,0.00016104090821566561
standard_mc,524288,0.018871990295329974,0.005509356631671884,0.01885250908438493,0.4813043367500001,8.078292385685208,8.072783029053536,0.00016104090821566561
antithetic,2048,0.20580913443686222,-0.09670305612857118,0.18975367406588853,0.0013430553333330468,7.976079972924965,8.072783029053536,0.00016104090821566561
antithetic,8192,0.10300562985086062,-0.03085151605590486,0.1026468459668201,0.0052343472499999,8.041931512997632,8.072783029053536,0.00016104090821566561
antithetic,32768,0.04588496058171626,-0.014596478152537617,0.045435738033900705,0.021702291750000047,8.058186550900999,8.072783029053536,0.00016104090821566561
antithetic,131072,0.02633712288725818,-0.012613194233266789,0.024148435820884384,0.07868950366666654,8.060169834820268,8.072783029053536,0.00016104090821566561
antithetic,524288,0.008181173359371244,0.002278371092477638,0.008206912122288228,0.3273959514166663,8.075061400146012,8.072783029053536,0.00016104090821566561
control_variate,2048,0.009578093193328162,-0.0028910959286361226,0.009537377201011124,0.0026261737499998126,8.0698919331249,8.072783029053536,0.00016104090821566561
control_variate,8192,0.00432123002542474,0.00010925896683714835,0.004511934647834016,0.009863749916666128,8.072892288020373,8.072783029053536,0.00016104090821566561
control_variate,32768,0.0031539808956377994,0.0007534158938617234,0.0031988566106586082,0.03784611100000035,8.073536444947399,8.072783029053536,0.00016104090821566561
control_variate,131072,0.0014743735544197165,-0.00043247651358072997,0.0014721937038459254,0.1491604131666667,8.072350552539955,8.072783029053536,0.00016104090821566561
control_variate,524288,0.0007312517326508393,-7.594824666516213e-05,0.0007596369661645266,0.5906981527500005,8.07270708080687,8.072783029053536,0.00016104090821566561
antithetic_cv,2048,0.010932730251619898,0.0014412376260050468,0.01131920772332212,0.001901031333333118,8.074224266679542,8.072783029053536,0.00016104090821566561
antithetic_cv,8192,0.003907214753483144,-0.0008619902461433071,0.003980401982265813,0.006884955000000599,8.071921038807393,8.072783029053536,0.00016104090821566561
antithetic_cv,32768,0.0030399631834905636,0.0010490226033373535,0.0029801026952406256,0.028300305583332925,8.073832051656872,8.072783029053536,0.00016104090821566561
antithetic_cv,131072,0.0011567992320207336,0.00017679885187860123,0.001194042771814158,0.10606997583333329,8.072959827905414,8.072783029053536,0.00016104090821566561
antithetic_cv,524288,0.000783650062853307,-0.00011169637881902617,0.0008101389375580474,0.4208455799166675,8.072671332674718,8.072783029053536,0.00016104090821566561
sobol_incremental,2048,0.048334910439108536,0.009420538287641111,0.049516025235484734,0.003665281249999097,8.082203567341177,8.072783029053536,0.00016104090821566561
sobol_incremental,8192,0.02038561933524849,0.0008789802747120786,0.021272283358868414,0.01096201391666618,8.073662009328249,8.072783029053536,0.00016104090821566561
sobol_incremental,32768,0.006869560829484032,0.001702663674243876,0.006951138747969156,0.039486576499998684,8.074485692727778,8.072783029053536,0.00016104090821566561
sobol_incremental,131072,0.0045786569669500985,0.0016406701198135032,0.004464685819623531,0.15211088533333358,8.07442369917335,8.072783029053536,0.00016104090821566561
sobol_incremental,524288,0.0017543144978196304,-0.000513456048930235,0.0017520841334335395,0.5987258543333335,8.072269573004606,8.072783029053536,0.00016104090821566561
sobol_bridge,2048,0.008426456594499138,0.0012898664456260829,0.008697423774769125,0.0037906250833324626,8.074072895499162,8.072783029053536,0.00016104090821566561
sobol_bridge,8192,0.004051377438352249,0.0012212558212555773,0.004034694090065092,0.010781808999999734,8.074004284874793,8.072783029053536,0.00016104090821566561
sobol_bridge,32768,0.0015258750735814126,7.459804246205219e-05,0.0015918188129779246,0.03772740958333406,8.072857627095997,8.072783029053536,0.00016104090821566561
sobol_bridge,131072,0.0005688060074534687,8.083992919338812e-05,0.0005880678810197742,0.14726329516666503,8.07286386898273,8.072783029053536,0.00016104090821566561
sobol_bridge,524288,0.00022935260659808206,-5.686436586153457e-05,0.00023207145149363762,0.5729953159166664,8.072726164687674,8.072783029053536,0.00016104090821566561
rqmc_bridge,2048,0.015113465398300878,-0.0003204638803257313,0.015781950769397455,0.013052826416664942,8.07246256517321,8.072783029053536,0.00016104090821566561
rqmc_bridge,8192,0.003550295224042855,-0.001451922416699336,0.0033838951424353023,0.02013237149999843,8.071331106636837,8.072783029053536,0.00016104090821566561
rqmc_bridge,32768,0.0019471410961987468,-0.00023444484684661168,0.0020189270045681,0.049477916749999316,8.07254858420669,8.072783029053536,0.00016104090821566561
rqmc_bridge,131072,0.0007700863431871889,-0.0002376372209818752,0.0007650750602516153,0.16295273608333302,8.072545391832554,8.072783029053536,0.00016104090821566561
rqmc_bridge,524288,0.00034766979101808507,-0.0001825181067996636,0.0003090656139989321,0.5961082499999991,8.072600510946737,8.072783029053536,0.00016104090821566561
